药名	原文字句	规范化性味
狗陰莖	味鹹平	平
鹿茸	味甘溫	甘
伏翼	味鹹平	平
猬皮	味苦平	平，苦
石龍子	味鹹寒	寒
桑螵蛸	味鹹平	平
蚱蟬	味鹹寒	寒
白僵蠶	味鹹	
木虻	味苦平	平，苦
蜚虻	味苦微寒	微寒，苦
蜚廉	味鹹	
蠐螬	味鹹微溫	
蛞蝓	味鹹寒	寒
海蛤	味苦平	平，苦
龜甲	味鹹平	平
鱉甲	味鹹平	平
鮀魚甲	味辛微溫	辛
烏賊魚骨	味鹹微溫	
蟹	味鹹寒	寒
蝦蟇	味辛寒	寒，辛
石膏	味辛微寒	微寒，辛
青瑯玕	味辛平	平，辛
礜石	味辛有毒	辛
代赭	味苦寒	寒，苦
鹵鹹	味苦鹹寒	寒，苦
白堊	味苦溫	苦
鉛丹	味辛微寒	微寒，辛
粉錫	味辛寒	寒，辛
石灰	味辛溫	辛
冬灰	味辛微溫	辛
營實	味酸溫	酸
牡丹	味辛寒	寒，辛
石韋	味苦平	平，苦
百合	味甘平	平，甘
紫參	味苦寒	寒，苦
王瓜	味苦寒	寒，苦
大黃	味苦寒有毒	寒，苦
甘遂	味苦寒有毒	寒，苦
亭歷	味辛寒	寒，辛
芫華	味苦溫有毒	苦
澤漆	味苦微寒	微寒，苦
大戟	味苦寒	寒，苦
蕘華	味苦寒	寒，苦
鉤吻	味辛溫	辛
藜蘆	味辛寒有毒	寒，辛
烏頭	味辛溫有毒	辛
天雄	味辛溫	辛
附子	味辛溫有毒	辛
羊躑躅	味辛溫有毒	辛
茵芋	味苦溫	苦
射干	味苦平	平，苦
鳶尾	味苦平	平，苦
貫眾	味苦微寒有毒	微寒，苦
飛廉	味苦平	平，苦
半夏	味辛平	平，辛
虎掌	味苦溫無毒	苦
莨蕩子	味苦寒	寒，苦
蜀漆	味辛平有毒	平，辛
恒山	味苦寒	寒，苦
青葙	味苦微寒	微寒，苦
狼牙	味苦寒有毒	寒，苦
白蘞	味苦平	平，苦
白及	味苦平	平，苦
草蒿	味苦寒	寒，苦
雚菌	味鹹平	平
連翹	味苦平	平，苦
白頭公	味苦溫無毒	苦
閭茹	味酸鹹有毒	酸
羊桃	味苦寒	寒，苦
羊蹄	味苦寒	寒，苦
鹿藿	味苦平	平，苦
牛扁	味苦微寒	微寒，苦
陸英	味苦寒	寒，苦
藎草	味苦平	平，苦
夏枯草	味苦辛寒	寒，苦、辛
烏韭	味甘寒	寒，甘
蚤休	味苦微寒	微寒，苦
石長生	味鹹微寒	微寒
狼毒	味辛平	平，辛
